collected_at,stnCd,fcltNm,lineNm,stnNm,stnNo,crtrYmd,fcltSeNm,cusarThrghSeNm,nrsrmUtztnMth,stllAcsYn,doorItphnEn,itphnEn,nrspcLockEn,vstcdEn,hnstzYn,dprSwchbrdCnt,dprBoxEn,nrspttEn,spsofaEn,mpsofaEn,tableEn,wshstndEn,trmmtEn,hgmtEn,wthtEn,rfgrEn,mwovenEn,chlhtrEn,acEn,fanEn,htrEn,acnrEn,dspdprEn,tsEn,ptlEn,safiEn,lsEn,chwpEn,infntBedEn,nrsstlEn,nrsplwEn,nrslgtEn,bmbEn,mwovenosEn,portEn,drtbEn,sofaCnt,infntBedCnt,stnFlr,exitNo,utztnHr,operInstTelno,gateInoutSe,dtlPstn,FCAR,grndUdgdSe
2026-08-07 15:39,2534,수유실,5호선,광화문,533,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,1,0,B2,"1, 8",영업시간내,0263115331,외부,B2 고객안전실 인접,14.640000000,지하
2026-08-07 15:39,2537,수유실,5호선,동대문역사문화공원,536,,가족수유실,단독,1인가족 단독사용,N,Y,Y,N,N,Y,2,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,1,0,B2,"6, 7",영업시간내,0263115361,외부,B2 고객안전실 인접,16.000000000,지하
2026-08-07 15:39,2538,수유실,5호선,청구,537,,가족수유실,고객안전실경유,1인가족 단독사용,Y,N,N,N,N,Y,1,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,Y,1,1,B1,3,영업시간내,0263115371,외부,B1 고객안전실 내부,25.540000000,지하
2026-08-07 15:39,2541,수유실,5호선,왕십리,540,,모유수유실,고객안전실경유,1인가족 단독사용,Y,N,N,N,N,Y,2,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,1,0,B1,5,영업시간내,0263115401,외부,B1 고객안전실 내부,15.190000000,지하
2026-08-07 15:39,2543,수유실,5호선,답십리,542,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,2,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,1,0,B2,1,영업시간내,0263115421,외부,B2 고객안전실 인접,13.040000000,지하
2026-08-07 15:39,2545,수유실,5호선,군자,544,,가족수유실,고객안전실경유,1인가족 단독사용,Y,N,N,N,N,Y,2,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,1,0,B1,"1, 2",영업시간내,0263115441,내부,B1 고객안전실 내부,14.260000000,지하
2026-08-07 15:39,2546,수유실,5호선,아차산,545,,가족수유실,고객안전실경유,다수가족 공동사용,Y,N,N,N,N,Y,1,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,1,0,B2,1,영업시간내,0263115451,내부,B2 고객안전실 내부,12.000000000,지하
2026-08-07 15:39,2548,수유실,5호선,천호,547,,가족수유실,고객안전실경유,1인가족 단독사용,Y,N,N,N,N,Y,2,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,2,0,B1,"9, 10",영업시간내,0263115471,내부,B1 고객안전실 내부,14.270000000,지하
2026-08-07 15:39,2549,수유실,5호선,강동,548,,가족수유실,고객안전실경유,1인가족 단독사용,Y,N,N,N,N,Y,2,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,1,0,B3,2,영업시간내,0263115481,외부,B3 고객안전실 내부,18.000000000,지하
2026-08-07 15:39,2553,수유실,5호선,고덕,552,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,2,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,1,0,B1,4,영업시간내,0263115521,내부,B1 고객안전실 인접,18.000000000,지하
