fcltNm,sftyScfldEn,lineNm,stnCd,stnNm,stnNo,crtrYmd,mngrTelno,collected_at
안전발판,Y,5호선,2529,마포,528,20241231,0263115281,2026-08-07T05:49:07Z
안전발판,Y,5호선,2530,공덕,529,20241231,0263115291,2026-08-07T05:49:07Z
안전발판,Y,5호선,2531,애오개,530,20241231,0263115301,2026-08-07T05:49:07Z
안전발판,Y,5호선,2532,충정로,531,20241231,0263115311,2026-08-07T05:49:07Z
안전발판,Y,5호선,2533,서대문,532,20241231,0263115321,2026-08-07T05:49:07Z
안전발판,Y,5호선,2534,광화문,533,20241231,0263115331,2026-08-07T05:49:07Z
안전발판,N,5호선,2535,종로3가,534,20241231,0263115341,2026-08-07T05:49:07Z
안전발판,Y,5호선,2536,을지4가,535,20241231,0263115351,2026-08-07T05:49:07Z
안전발판,Y,5호선,2537,동대문역사문화공원,536,20241231,0263115361,2026-08-07T05:49:07Z
안전발판,Y,5호선,2538,청구,537,20241231,0263115371,2026-08-07T05:49:07Z
안전발판,Y,5호선,2539,신금호,538,20241231,0263115381,2026-08-07T05:49:07Z
안전발판,Y,5호선,2540,행당,539,20241231,0263115391,2026-08-07T05:49:07Z
안전발판,Y,5호선,2541,왕십리,540,20241231,0263115401,2026-08-07T05:49:07Z
안전발판,N,5호선,2542,마장,541,20241231,0263115411,2026-08-07T05:49:07Z
안전발판,Y,5호선,2543,답십리,542,20241231,0263115421,2026-08-07T05:49:07Z
안전발판,N,5호선,2544,장한평,543,20241231,0263115431,2026-08-07T05:49:07Z
안전발판,Y,5호선,2545,군자,544,20241231,0263115441,2026-08-07T05:49:07Z
안전발판,Y,5호선,2546,아차산,545,20241231,0263115451,2026-08-07T05:49:07Z
안전발판,Y,5호선,2547,광나루,546,20241231,0263115461,2026-08-07T05:49:07Z
안전발판,Y,5호선,2548,천호,547,20241231,0263115471,2026-08-07T05:49:07Z
안전발판,N,5호선,2549,강동,548,20241231,0263115481,2026-08-07T05:49:07Z
안전발판,N,5호선,2550,길동,549,20241231,0263115491,2026-08-07T05:49:07Z
안전발판,Y,5호선,2551,굽은다리,550,20241231,0263115501,2026-08-07T05:49:07Z
안전발판,Y,5호선,2552,명일,551,20241231,0263115511,2026-08-07T05:49:07Z
안전발판,N,5호선,2553,고덕,552,20241231,0263115521,2026-08-07T05:49:07Z
안전발판,N,5호선,2554,상일동,553,20241231,0263115531,2026-08-07T05:49:07Z
안전발판,N,5호선,2555,둔촌동,P549,20241231,0263115541,2026-08-07T05:49:07Z
안전발판,N,5호선,2556,올림픽공원,P550,20241231,0263115551,2026-08-07T05:49:07Z
안전발판,N,5호선,2557,방이,P551,20241231,0263115561,2026-08-07T05:49:07Z
안전발판,N,5호선,2558,오금,P552,20241231,0261103521,2026-08-07T05:49:07Z
안전발판,N,5호선,2559,개롱,P553,20241231,0263115581,2026-08-07T05:49:07Z
안전발판,Y,5호선,2560,거여,P554,20241231,0263115591,2026-08-07T05:49:07Z
안전발판,N,5호선,2561,마천,P555,20241231,0263115601,2026-08-07T05:49:07Z
안전발판,N,5호선,2562,강일,554,20241231,0263115611,2026-08-07T05:49:07Z
안전발판,N,5호선,2563,미사,555,20241231,0263115621,2026-08-07T05:49:07Z
안전발판,Y,5호선,2564,하남풍산,556,20241231,0263115631,2026-08-07T05:49:07Z
안전발판,N,5호선,2565,하남시청,557,20241231,0263115641,2026-08-07T05:49:07Z
안전발판,Y,5호선,2566,하남검단산,558,20241231,0263115651,2026-08-07T05:49:07Z
안전발판,Y,6호선,2611,응암,610,20241231,0263116101,2026-08-07T05:49:07Z
안전발판,N,6호선,2612,역촌,611,20241231,0263116111,2026-08-07T05:49:07Z
안전발판,Y,6호선,2613,불광,612,20241231,0263116121,2026-08-07T05:49:07Z
안전발판,Y,6호선,2614,독바위,613,20241231,0263116131,2026-08-07T05:49:07Z
안전발판,Y,6호선,2615,연신내,614,20241231,0261103211,2026-08-07T05:49:07Z
안전발판,Y,6호선,2616,구산,615,20241231,0263116151,2026-08-07T05:49:07Z
안전발판,N,6호선,2617,새절,616,20241231,0263116161,2026-08-07T05:49:07Z
안전발판,N,6호선,2618,증산,617,20241231,0263116171,2026-08-07T05:49:07Z
안전발판,N,6호선,2619,수색,618,20241231,0263116181,2026-08-07T05:49:07Z
안전발판,Y,6호선,2620,월드컵경기장,619,20241231,0263116191,2026-08-07T05:49:07Z
안전발판,N,6호선,2621,마포구청,620,20241231,0263116201,2026-08-07T05:49:07Z
안전발판,N,6호선,2622,망원,621,20241231,0263116211,2026-08-07T05:49:07Z
안전발판,Y,6호선,2623,합정,622,20241231,0263116221,2026-08-07T05:49:07Z
안전발판,N,6호선,2624,상수,623,20241231,0263116231,2026-08-07T05:49:07Z
안전발판,N,6호선,2625,광흥창,624,20241231,0263116241,2026-08-07T05:49:07Z
안전발판,N,6호선,2626,대흥,625,20241231,0263116251,2026-08-07T05:49:07Z
안전발판,N,6호선,2627,공덕,626,20241231,0263115291,2026-08-07T05:49:07Z
안전발판,N,6호선,2628,효창공원앞,627,20241231,0263116271,2026-08-07T05:49:07Z
안전발판,N,6호선,2629,삼각지,628,20241231,0263116281,2026-08-07T05:49:07Z
안전발판,Y,6호선,2630,녹사평,629,20241231,0263116291,2026-08-07T05:49:07Z
안전발판,N,6호선,2631,이태원,630,20241231,0263116301,2026-08-07T05:49:07Z
안전발판,N,6호선,2632,한강진,631,20241231,0263116311,2026-08-07T05:49:07Z
안전발판,Y,6호선,2633,버티고개,632,20241231,0263116321,2026-08-07T05:49:07Z
안전발판,N,6호선,2634,약수,633,20241231,0263116331,2026-08-07T05:49:07Z
안전발판,N,6호선,2635,청구,634,20241231,0263115371,2026-08-07T05:49:07Z
안전발판,N,6호선,2636,신당,635,20241231,0263116351,2026-08-07T05:49:07Z
안전발판,N,6호선,2637,동묘앞,636,20241231,0263116361,2026-08-07T05:49:07Z
안전발판,Y,6호선,2638,창신,637,20241231,0263116371,2026-08-07T05:49:07Z
안전발판,N,6호선,2639,보문,638,20241231,0263116381,2026-08-07T05:49:07Z
안전발판,N,6호선,2640,안암,639,20241231,0263116391,2026-08-07T05:49:07Z
안전발판,Y,6호선,2641,고려대,640,20241231,0263116401,2026-08-07T05:49:07Z
안전발판,Y,6호선,2642,월곡,641,20241231,0263116411,2026-08-07T05:49:07Z
안전발판,N,6호선,2643,상월곡,642,20241231,0263116421,2026-08-07T05:49:07Z
안전발판,N,6호선,2644,돌곶이,643,20241231,0263116431,2026-08-07T05:49:07Z
안전발판,N,6호선,2645,석계,644,20241231,0263116441,2026-08-07T05:49:07Z
안전발판,N,6호선,2646,태릉입구,645,20241231,0263117171,2026-08-07T05:49:07Z
안전발판,Y,6호선,2647,화랑대,646,20241231,0263116461,2026-08-07T05:49:07Z
안전발판,N,6호선,2648,봉화산,647,20241231,0263116471,2026-08-07T05:49:07Z
안전발판,N,6호선,2649,신내,648,20241231,0263116481,2026-08-07T05:49:07Z
안전발판,N,7호선,2711,장암,709,20241231,0263117091,2026-08-07T05:49:07Z
안전발판,Y,7호선,2712,도봉산,710,20241231,0263117101,2026-08-07T05:49:07Z
안전발판,Y,7호선,2713,수락산,711,20241231,0263117111,2026-08-07T05:49:07Z
안전발판,Y,7호선,2714,마들,712,20241231,0263117121,2026-08-07T05:49:07Z
안전발판,Y,7호선,2715,노원,713,20241231,0263117131,2026-08-07T05:49:07Z
안전발판,Y,7호선,2716,중계,714,20241231,0263117141,2026-08-07T05:49:07Z
안전발판,Y,7호선,2717,하계,715,20241231,0263117151,2026-08-07T05:49:07Z
안전발판,Y,7호선,2718,공릉,716,20241231,0263117161,2026-08-07T05:49:07Z
안전발판,Y,7호선,2719,태릉입구,717,20241231,0263117171,2026-08-07T05:49:07Z
안전발판,Y,7호선,2720,먹골,718,20241231,0263117181,2026-08-07T05:49:07Z
안전발판,Y,7호선,2721,중화,719,20241231,0263117191,2026-08-07T05:49:07Z
안전발판,Y,7호선,2722,상봉,720,20241231,0263117201,2026-08-07T05:49:07Z
안전발판,Y,7호선,2723,면목,721,20241231,0263117211,2026-08-07T05:49:07Z
안전발판,Y,7호선,2724,사가정,722,20241231,0263117221,2026-08-07T05:49:07Z
안전발판,Y,7호선,2725,용마산,723,20241231,0263117231,2026-08-07T05:49:07Z
안전발판,Y,7호선,2726,중곡,724,20241231,0263117241,2026-08-07T05:49:07Z
안전발판,N,7호선,2727,군자,725,20241231,0263115441,2026-08-07T05:49:07Z
