stnCd,fcltNm,lineNm,stnNm,stnNo,crtrYmd,dtlPstn,vcntEntrcNo,stnFlr,grndUdgdSe,utztnHr,collected_at
0422,수어영상전화기,4호선,동대문역사문화공원,422,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0423,수어영상전화기,4호선,충무로,423,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0426,수어영상전화기,4호선,서울역,426,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0428,수어영상전화기,4호선,삼각지,428,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0433,수어영상전화기,4호선,사당,433,20250531,고객안전실,-,B2,지하,05:00~00:00,2026-08-07T05:49:09Z
2513,수어영상전화기,5호선,김포공항,512,20250531,아이센터,-,B2,지하,05:00~00:00,2026-08-07T05:49:09Z
2524,수어영상전화기,5호선,영등포구청,523,20250531,아이센터,-,B4,지하,05:00~00:00,2026-08-07T05:49:09Z
2530,수어영상전화기,5호선,공덕,529,20250703,,,,,,2026-08-07T05:49:09Z
2535,수어영상전화기,5호선,종로3가,534,20250531,아이센터,-,B3,지하,05:00~00:00,2026-08-07T05:49:09Z
2537,수어영상전화기,5호선,동대문역사문화공원,536,20250531,아이센터,-,B2,지하,05:00~00:00,2026-08-07T05:49:09Z
2541,수어영상전화기,5호선,왕십리,540,20250531,아이센터,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
2548,수어영상전화기,5호선,천호,547,20250531,아이센터,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
2627,수어영상전화기,6호선,공덕,626,20250531,아이센터,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
2629,수어영상전화기,6호선,삼각지,628,20250531,아이센터,-,B3,지하,05:00~00:00,2026-08-07T05:49:09Z
2634,수어영상전화기,6호선,약수,633,20250531,아이센터,-,B2,지하,05:00~00:00,2026-08-07T05:49:09Z
2712,수어영상전화기,7호선,도봉산,710,20250531,아이센터,-,1,지상,05:00~00:00,2026-08-07T05:49:09Z
2715,수어영상전화기,7호선,노원,713,20250531,아이센터,-,B2,지하,05:00~00:00,2026-08-07T05:49:09Z
2722,수어영상전화기,7호선,상봉,720,20250531,아이센터,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
2729,수어영상전화기,7호선,건대입구,727,20250531,아이센터,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
2736,수어영상전화기,7호선,고속터미널,734,20250531,아이센터,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
2748,수어영상전화기,7호선,가산디지털단지,746,20250531,아이센터,-,B2,지하,05:00~00:00,2026-08-07T05:49:09Z
2815,수어영상전화기,8호선,잠실,814,20250531,아이센터,-,B2,지하,05:00~00:00,2026-08-07T05:49:09Z
2818,수어영상전화기,8호선,가락시장,817,20250531,아이센터,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
