LINE,SBWY_STNS_OTSD_CD,SBWY_STNS_CD,SBWY_STNS_NM,UPLN_DNLN,PLF_PSTN,TRN_PLF_INTVL,HGT_DIFF,PLF_LNR,collected_at
5호선,535,2536,을지로4가,상선,본선 방화 방면 8-2,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 8-3,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,상선,본선 방화 방면 8-4,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 1-1,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 1-2,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 1-3,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 1-4,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 2-1,좁음,낮음,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 2-2,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 2-3,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 2-4,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 3-1,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 3-2,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 3-3,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 3-4,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 4-1,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 4-2,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 4-3,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 4-4,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 5-1,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 5-2,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 5-3,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 5-4,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 6-1,좁음,낮음,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 6-2,좁음,낮음,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 6-3,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 6-4,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 7-1,좁음,낮음,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 7-2,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 7-3,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 7-4,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 8-1,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 8-2,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 8-3,좁음,보통,직선,2026-08-07 15:39
5호선,535,2536,을지로4가,하선,본선 강동 방면 8-4,좁음,보통,직선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 1-1,보통,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 1-2,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 1-3,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 1-4,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 2-1,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 2-2,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 2-3,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 2-4,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 3-1,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 3-2,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 3-3,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 3-4,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 4-1,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 4-2,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 4-3,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 4-4,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 5-1,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 5-2,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 5-3,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 5-4,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 6-1,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 6-2,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 6-3,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 6-4,보통,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 7-1,좁음,보통,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 7-2,좁음,보통,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 7-3,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 7-4,보통,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 8-1,보통,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 8-2,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 8-3,좁음,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,상선,본선 방화 방면 8-4,보통,낮음,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,하선,본선 강동 방면 1-1,보통,보통,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,하선,본선 강동 방면 1-2,넓음,보통,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,하선,본선 강동 방면 1-3,보통,보통,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,하선,본선 강동 방면 1-4,보통,보통,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,하선,본선 강동 방면 2-1,보통,보통,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,하선,본선 강동 방면 2-2,보통,보통,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,하선,본선 강동 방면 2-3,보통,보통,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,하선,본선 강동 방면 2-4,보통,보통,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,하선,본선 강동 방면 3-1,보통,보통,곡선,2026-08-07 15:39
5호선,536,2537,동대문역사문화공원,하선,본선 강동 방면 3-2,보통,보통,곡선,2026-08-07 15:39
