are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,mv_path_dv_cd,mv_path_dv_nm,mg_no,start_point,end_point,path_label
01,수도권,KR,1,1호선,0606,회룡,3,환승,1,1호선 의정부 방면,의정부 발곡 방면,1호선 의정부 방면 → 의정부 발곡 방면
01,수도권,KR,1,1호선,0606,회룡,3,환승,2,1호선 의정부 방면,의정부 범골 방면,1호선 의정부 방면 → 의정부 범골 방면
01,수도권,KR,1,1호선,0606,회룡,3,환승,3,1호선 망월사 방면,의정부 발곡 방면,1호선 망월사 방면 → 의정부 발곡 방면
01,수도권,KR,1,1호선,0606,회룡,3,환승,4,1호선 망월사 방면,의정부 범골 방면,1호선 망월사 방면 → 의정부 범골 방면
01,수도권,KR,1,1호선,0190,망월사,1,출입구-승강장,1,1번 출입구,회룡 방면,1번 출입구 → 회룡 방면
01,수도권,KR,1,1호선,0190,망월사,1,출입구-승강장,2,2번 출입구,회룡 방면,2번 출입구 → 회룡 방면
01,수도권,KR,1,1호선,0190,망월사,1,출입구-승강장,3,1번 출입구,도봉산 방면,1번 출입구 → 도봉산 방면
01,수도권,KR,1,1호선,0190,망월사,1,출입구-승강장,4,2번 출입구,도봉산 방면,2번 출입구 → 도봉산 방면
01,수도권,KR,1,1호선,0146,도봉산,3,환승,1,1호선 망월사 방면,7호선 수락산 방면,1호선 망월사 방면 → 7호선 수락산 방면
01,수도권,KR,1,1호선,0146,도봉산,3,환승,2,1호선 망월사 방면,7호선 장암 방면,1호선 망월사 방면 → 7호선 장암 방면
01,수도권,KR,1,1호선,0146,도봉산,3,환승,3,1호선 도봉 방면,7호선 수락산 방면,1호선 도봉 방면 → 7호선 수락산 방면
01,수도권,KR,1,1호선,0146,도봉산,3,환승,4,1호선 도봉 방면,7호선 장암 방면,1호선 도봉 방면 → 7호선 장암 방면
01,수도권,KR,1,1호선,0145,도봉,1,출입구-승강장,3,1번 출입구 근처 엘리베이터,도봉산 방면,1번 출입구 근처 엘리베이터 → 도봉산 방면
01,수도권,KR,1,1호선,0145,도봉,1,출입구-승강장,4,2번 출입구 근처 엘리베이터,도봉산 방면,2번 출입구 근처 엘리베이터 → 도봉산 방면
01,수도권,KR,1,1호선,0145,도봉,1,출입구-승강장,5,3번 출입구 근처 엘리베이터,방학 방면,3번 출입구 근처 엘리베이터 → 방학 방면
01,수도권,KR,1,1호선,0220,방학,1,출입구-승강장,1,1번 출입구,도봉 방면,1번 출입구 → 도봉 방면
01,수도권,KR,1,1호선,0220,방학,1,출입구-승강장,2,3번 출입구,도봉 방면,3번 출입구 → 도봉 방면
01,수도권,KR,1,1호선,0220,방학,1,출입구-승강장,3,2번 출입구,창동 방면,2번 출입구 → 창동 방면
01,수도권,KR,1,1호선,0220,방학,1,출입구-승강장,4,3번 출입구,창동 방면,3번 출입구 → 창동 방면
01,수도권,KR,1,1호선,0541,창동,1,출입구-승강장,1,1번 출입구 옆 엘리베이터,방학 방면 승강장,1번 출입구 옆 엘리베이터 → 방학 방면 승강장
01,수도권,KR,1,1호선,0541,창동,1,출입구-승강장,2,1번 출입구 옆 엘리베이터,녹천 방면 승강장,1번 출입구 옆 엘리베이터 → 녹천 방면 승강장
01,수도권,KR,1,1호선,0541,창동,1,출입구-승강장,3,2번 출입구 옆 엘리베이터,방학 방면 승강장,2번 출입구 옆 엘리베이터 → 방학 방면 승강장
01,수도권,KR,1,1호선,0541,창동,1,출입구-승강장,4,2번 출입구 옆 엘리베이터,녹천 방면 승강장,2번 출입구 옆 엘리베이터 → 녹천 방면 승강장
01,수도권,KR,1,1호선,0541,창동,3,환승,1,1호선 방학 방면,4호선 노원 방면,1호선 방학 방면 → 4호선 노원 방면
01,수도권,KR,1,1호선,0541,창동,3,환승,2,1호선 방학 방면,4호선 쌍문 방면,1호선 방학 방면 → 4호선 쌍문 방면
01,수도권,KR,1,1호선,0541,창동,3,환승,3,1호선 녹천 방면,4호선 노원 방면,1호선 녹천 방면 → 4호선 노원 방면
01,수도권,KR,1,1호선,0541,창동,3,환승,4,1호선 녹천 방면,4호선 쌍문 방면,1호선 녹천 방면 → 4호선 쌍문 방면
01,수도권,KR,1,1호선,0119,녹천,1,출입구-승강장,1,1번 출입구 엘리베이터,창동 방면,1번 출입구 엘리베이터 → 창동 방면
