are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,line_order,stin_cons_ordr,prev_rail_opr_istt_cd,prev_ln_cd,prev_prpr_stin_cd,prev_stin_nm,next_rail_opr_istt_cd,next_ln_cd,next_prpr_stin_cd,next_stin_nm,has_platform_info,has_facility_info,has_move_path_info
01,수도권,S1,2,2호선,0031,건대입구,33,33,S1,2,0076,구의,S1,2,0314,성수,True,True,True
01,수도권,S1,2,2호선,0314,성수,34,34,,,,,S1,2,0443,용답,True,True,True
01,수도권,S1,2,2호선,0175,뚝섬,35,35,S1,2,0314,성수,S1,2,0588,한양대,True,True,True
01,수도권,S1,2,2호선,0588,한양대,36,36,S1,2,0175,뚝섬,S1,2,0441,왕십리,True,True,True
01,수도권,S1,2,2호선,0441,왕십리,37,37,S1,2,0588,한양대,S1,2,0279,상왕십리,True,True,True
01,수도권,S1,2,2호선,0279,상왕십리,38,38,S1,2,0441,왕십리,S1,2,0356,신당,True,True,True
01,수도권,S1,2,2호선,0356,신당,39,39,S1,2,0279,상왕십리,S1,2,0156,동대문역사문화공원,True,True,True
01,수도권,S1,2,2호선,0156,동대문역사문화공원,40,40,S1,2,0356,신당,S1,2,0465,을지로4가,True,True,True
01,수도권,S1,2,2호선,0465,을지로4가,41,41,S1,2,0156,동대문역사문화공원,S1,2,0464,을지로3가,True,True,True
01,수도권,S1,2,2호선,0464,을지로3가,42,42,S1,2,0465,을지로4가,S1,2,0466,을지로입구,True,True,True
01,수도권,S1,2,2호선,0466,을지로입구,43,43,S1,2,0464,을지로3가,,,,,True,True,True
01,수도권,S1,2,2호선,0443,용답,44,35,S1,2,0314,성수,S1,2,0355,신답,True,True,True
01,수도권,S1,2,2호선,0355,신답,45,36,S1,2,0443,용답,S1,2,0444,용두,True,True,True
01,수도권,S1,2,2호선,0444,용두,46,37,S1,2,0355,신답,S1,2,0367,신설동,True,True,True
01,수도권,S1,2,2호선,0367,신설동,47,38,S1,2,0444,용두,,,,,True,True,True
01,수도권,S1,2,2호선,0144,도림천,48,12,S1,2,0359,신도림,S1,2,0404,양천구청,True,True,True
01,수도권,S1,2,2호선,0404,양천구청,49,13,S1,2,0144,도림천,S1,2,0373,신정네거리,True,True,True
01,수도권,S1,2,2호선,0373,신정네거리,50,14,S1,2,0404,양천구청,S1,2,0100,까치산,True,True,True
01,수도권,S1,2,2호선,0100,까치산,51,15,S1,2,0373,신정네거리,,,,,True,True,True
01,수도권,KR,3,3호선,0137,대화,1,1,,,,,KR,3,0522,주엽,True,True,True
01,수도권,KR,3,3호선,0522,주엽,2,2,KR,3,0137,대화,KR,3,0508,정발산,True,True,True
01,수도권,KR,3,3호선,0508,정발산,3,3,KR,3,0522,주엽,KR,3,0179,마두,True,True,True
01,수도권,KR,3,3호선,0179,마두,4,4,KR,3,0508,정발산,KR,3,0224,백석,True,True,True
01,수도권,KR,3,3호선,0224,백석,5,5,KR,3,0179,마두,KR,3,0128,대곡,True,True,True
01,수도권,KR,3,3호선,0128,대곡,6,6,KR,3,0224,백석,KR,3,0603,화정,True,True,True
01,수도권,KR,3,3호선,0603,화정,7,7,KR,3,0128,대곡,KR,3,0456,원당,True,True,True
01,수도권,KR,3,3호선,0456,원당,8,8,KR,3,0603,화정,KR,3,0036,원흥,True,True,True
01,수도권,KR,3,3호선,0036,원흥,9,9,KR,3,0456,원당,KR,3,0268,삼송,True,True,True
01,수도권,KR,3,3호선,0268,삼송,10,10,KR,3,0036,원흥,S1,3,0536,지축,True,True,True
01,수도권,S1,3,3호선,0536,지축,11,11,KR,3,0268,삼송,S1,3,0078,구파발,True,True,True
01,수도권,S1,3,3호선,0078,구파발,12,12,S1,3,0536,지축,S1,3,0418,연신내,True,True,True
01,수도권,S1,3,3호선,0418,연신내,13,13,S1,3,0078,구파발,S1,3,0255,불광,True,True,True
01,수도권,S1,3,3호선,0255,불광,14,14,S1,3,0418,연신내,S1,3,0116,녹번,True,True,True
01,수도권,S1,3,3호선,0116,녹번,15,15,S1,3,0255,불광,S1,3,0597,홍제,True,True,True
01,수도권,S1,3,3호선,0597,홍제,16,16,S1,3,0116,녹번,S1,3,0205,무악재,True,True,True
01,수도권,S1,3,3호선,0205,무악재,17,17,S1,3,0597,홍제,S1,3,0150,독립문,True,True,True
01,수도권,S1,3,3호선,0150,독립문,18,18,S1,3,0205,무악재,S1,3,0040,경복궁,True,True,True
01,수도권,S1,3,3호선,0040,경복궁,19,19,S1,3,0150,독립문,S1,3,0387,안국,True,True,True
01,수도권,S1,3,3호선,0387,안국,20,20,S1,3,0040,경복궁,S1,3,0515,종로3가,True,True,True
01,수도권,S1,3,3호선,0515,종로3가,21,21,S1,3,0387,안국,S1,3,0464,을지로3가,True,True,True
01,수도권,S1,3,3호선,0464,을지로3가,22,22,S1,3,0515,종로3가,S1,3,0563,충무로,True,True,True
01,수도권,S1,3,3호선,0563,충무로,23,23,S1,3,0464,을지로3가,S1,3,0157,동대입구,True,True,True
01,수도권,S1,3,3호선,0157,동대입구,24,24,S1,3,0563,충무로,S1,3,0397,약수,True,True,True
01,수도권,S1,3,3호선,0397,약수,25,25,S1,3,0157,동대입구,S1,3,0093,금호,True,True,True
01,수도권,S1,3,3호선,0093,금호,26,26,S1,3,0397,약수,S1,3,0434,옥수,True,True,True
01,수도권,S1,3,3호선,0434,옥수,27,27,S1,3,0093,금호,S1,3,0392,압구정,True,True,True
01,수도권,S1,3,3호선,0392,압구정,28,28,S1,3,0434,옥수,S1,3,0365,신사,True,True,True
01,수도권,S1,3,3호선,0365,신사,29,29,S1,3,0392,압구정,S1,3,0500,잠원,True,True,True
01,수도권,S1,3,3호선,0500,잠원,30,30,S1,3,0365,신사,S1,3,0048,고속터미널,True,True,True
01,수도권,S1,3,3호선,0048,고속터미널,31,31,S1,3,0500,잠원,S1,3,0068,교대,True,True,True
01,수도권,S1,3,3호선,0068,교대,32,32,S1,3,0048,고속터미널,S1,3,0106,남부터미널,True,True,True
01,수도권,S1,3,3호선,0106,남부터미널,33,33,S1,3,0068,교대,S1,3,0400,양재,True,True,True
01,수도권,S1,3,3호선,0400,양재,34,34,S1,3,0106,남부터미널,S1,3,0193,매봉,True,True,True
01,수도권,S1,3,3호선,0193,매봉,35,35,S1,3,0400,양재,S1,3,0142,도곡,True,True,True
01,수도권,S1,3,3호선,0142,도곡,36,36,S1,3,0193,매봉,S1,3,0136,대치,True,True,True
01,수도권,S1,3,3호선,0136,대치,37,37,S1,3,0142,도곡,S1,3,0583,학여울,True,True,True
01,수도권,S1,3,3호선,0583,학여울,38,38,S1,3,0136,대치,S1,3,0135,대청,True,True,True
01,수도권,S1,3,3호선,0135,대청,39,39,S1,3,0583,학여울,S1,3,0494,일원,True,True,True
01,수도권,S1,3,3호선,0494,일원,40,40,S1,3,0135,대청,S1,3,0337,수서,True,True,True
01,수도권,S1,3,3호선,0337,수서,41,41,S1,3,0494,일원,S1,3,0003,가락시장,True,True,True
01,수도권,S1,3,3호선,0003,가락시장,42,42,S1,3,0337,수서,S1,3,0043,경찰병원,True,True,True
01,수도권,S1,3,3호선,0043,경찰병원,43,43,S1,3,0003,가락시장,S1,3,0426,오금,True,True,True
01,수도권,S1,3,3호선,0426,오금,44,44,S1,3,0043,경찰병원,,,,,True,True,True
01,수도권,NU,4,4호선,1355,진접,1,1,,,,,NU,4,1354,오남,False,True,True
