are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,grnd_dv_cd,grnd_dv_nm,stin_flor,floor_label,seq
01,수도권,KR,1,1호선,0382,아산,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0382,아산,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,1356,탕정,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,1356,탕정,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0222,배방,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0222,배방,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0437,온양온천,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0437,온양온천,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0437,온양온천,1,지상,3,지상 3층,3
01,수도권,KR,1,1호선,0375,신창,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0375,신창,1,지상,2,지상 2층,2
01,수도권,S1,2,2호선,0347,시청,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0347,시청,2,지하,3,지하 3층,2
01,수도권,S1,2,2호선,0564,충정로,2,지하,2,지하 2층,1
01,수도권,S1,2,2호선,0564,충정로,2,지하,3,지하 3층,2
01,수도권,S1,2,2호선,0386,아현,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0386,아현,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0473,이대,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0473,이대,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0366,신촌,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0366,신촌,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0596,홍대입구,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0596,홍대입구,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0591,합정,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0591,합정,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0126,당산,1,지상,2,지상 2층,1
01,수도권,S1,2,2호선,0126,당산,1,지상,3,지상 3층,2
01,수도권,S1,2,2호선,0421,영등포구청,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0421,영등포구청,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0206,문래,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0206,문래,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0359,신도림,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0359,신도림,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0130,대림,1,지상,2,지상 2층,1
01,수도권,S1,2,2호선,0130,대림,1,지상,3,지상 3층,2
01,수도권,S1,2,2호선,0070,구로디지털단지,1,지상,2,지상 2층,1
01,수도권,S1,2,2호선,0070,구로디지털단지,1,지상,3,지상 3층,2
01,수도권,S1,2,2호선,0357,신대방,1,지상,2,지상 2층,1
01,수도권,S1,2,2호선,0357,신대방,1,지상,3,지상 3층,2
01,수도권,S1,2,2호선,0361,신림,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0361,신림,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0242,봉천,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0242,봉천,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0294,서울대입구,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0294,서울대입구,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0102,낙성대,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0102,낙성대,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0257,사당,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0257,사당,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0218,방배,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0218,방배,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0298,서초,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0298,서초,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0068,교대,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0068,교대,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0017,강남,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0017,강남,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0415,역삼,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0415,역삼,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0415,역삼,2,지하,3,지하 3층,3
01,수도권,S1,2,2호선,0306,선릉,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0306,선릉,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0266,삼성,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0266,삼성,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0518,종합운동장,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0518,종합운동장,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0499,잠실새내,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0499,잠실새내,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0497,잠실,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0497,잠실,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0498,잠실나루,1,지상,1,지상 1층,1
01,수도권,S1,2,2호선,0498,잠실나루,1,지상,2,지상 2층,2
01,수도권,S1,2,2호선,0023,강변,1,지상,1,지상 1층,1
01,수도권,S1,2,2호선,0023,강변,1,지상,2,지상 2층,2
01,수도권,S1,2,2호선,0076,구의,1,지상,2,지상 2층,1
01,수도권,S1,2,2호선,0076,구의,1,지상,3,지상 3층,2
01,수도권,S1,2,2호선,0031,건대입구,1,지상,2,지상 2층,1
01,수도권,S1,2,2호선,0031,건대입구,1,지상,3,지상 3층,2
01,수도권,S1,2,2호선,0314,성수,1,지상,2,지상 2층,1
01,수도권,S1,2,2호선,0314,성수,1,지상,3,지상 3층,2
01,수도권,S1,2,2호선,0175,뚝섬,1,지상,2,지상 2층,1
01,수도권,S1,2,2호선,0175,뚝섬,1,지상,3,지상 3층,2
01,수도권,S1,2,2호선,0588,한양대,1,지상,1,지상 1층,1
01,수도권,S1,2,2호선,0588,한양대,1,지상,2,지상 2층,2
01,수도권,S1,2,2호선,0441,왕십리,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0441,왕십리,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0279,상왕십리,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0279,상왕십리,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0356,신당,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0356,신당,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0156,동대문역사문화공원,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0156,동대문역사문화공원,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0465,을지로4가,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0465,을지로4가,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0464,을지로3가,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0464,을지로3가,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0466,을지로입구,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0466,을지로입구,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0443,용답,1,지상,1,지상 1층,1
01,수도권,S1,2,2호선,0443,용답,1,지상,2,지상 2층,2
01,수도권,S1,2,2호선,0355,신답,1,지상,1,지상 1층,1
01,수도권,S1,2,2호선,0444,용두,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0444,용두,2,지하,1,지하 1층,2
01,수도권,S1,2,2호선,0367,신설동,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0367,신설동,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0144,도림천,1,지상,1,지상 1층,1
01,수도권,S1,2,2호선,0144,도림천,2,지하,3,지하 3층,1
01,수도권,S1,2,2호선,0404,양천구청,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0404,양천구청,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0373,신정네거리,2,지하,1,지하 1층,1
01,수도권,S1,2,2호선,0373,신정네거리,2,지하,2,지하 2층,2
01,수도권,S1,2,2호선,0373,신정네거리,2,지하,3,지하 3층,3
01,수도권,S1,2,2호선,0100,까치산,2,지하,5,지하 5층,1
01,수도권,KR,3,3호선,0137,대화,1,지상,1,지상 1층,1
01,수도권,KR,3,3호선,0137,대화,2,지하,1,지하 1층,1
01,수도권,KR,3,3호선,0137,대화,2,지하,2,지하 2층,2
01,수도권,KR,3,3호선,0522,주엽,1,지상,1,지상 1층,1
01,수도권,KR,3,3호선,0522,주엽,2,지하,1,지하 1층,1
01,수도권,KR,3,3호선,0522,주엽,2,지하,2,지하 2층,2
01,수도권,KR,3,3호선,0508,정발산,2,지하,1,지하 1층,1
01,수도권,KR,3,3호선,0508,정발산,2,지하,2,지하 2층,2
01,수도권,KR,3,3호선,0179,마두,2,지하,1,지하 1층,1
01,수도권,KR,3,3호선,0179,마두,2,지하,2,지하 2층,2
01,수도권,KR,3,3호선,0224,백석,2,지하,1,지하 1층,1
01,수도권,KR,3,3호선,0224,백석,2,지하,2,지하 2층,2
01,수도권,KR,3,3호선,0128,대곡,1,지상,1,지상 1층,1
01,수도권,KR,3,3호선,0128,대곡,1,지상,2,지상 2층,2
01,수도권,KR,3,3호선,0128,대곡,1,지상,3,지상 3층,3
01,수도권,KR,3,3호선,0128,대곡,2,지하,1,지하 1층,1
01,수도권,KR,3,3호선,0128,대곡,2,지하,2,지하 2층,2
01,수도권,KR,3,3호선,0603,화정,1,지상,1,지상 1층,1
01,수도권,KR,3,3호선,0603,화정,1,지상,2,지상 2층,2
01,수도권,KR,3,3호선,0456,원당,2,지하,1,지하 1층,1
01,수도권,KR,3,3호선,0456,원당,2,지하,2,지하 2층,2
01,수도권,KR,3,3호선,0036,원흥,2,지하,1,지하 1층,1
01,수도권,KR,3,3호선,0036,원흥,2,지하,2,지하 2층,2
01,수도권,KR,3,3호선,0268,삼송,2,지하,1,지하 1층,1
01,수도권,KR,3,3호선,0268,삼송,2,지하,2,지하 2층,2
01,수도권,S1,3,3호선,0536,지축,1,지상,1,지상 1층,1
01,수도권,S1,3,3호선,0536,지축,1,지상,2,지상 2층,2
01,수도권,S1,3,3호선,0078,구파발,2,지하,1,지하 1층,1
01,수도권,S1,3,3호선,0078,구파발,2,지하,2,지하 2층,2
01,수도권,S1,3,3호선,0418,연신내,2,지하,1,지하 1층,1
01,수도권,S1,3,3호선,0418,연신내,2,지하,2,지하 2층,2
01,수도권,S1,3,3호선,0255,불광,2,지하,1,지하 1층,1
01,수도권,S1,3,3호선,0255,불광,2,지하,2,지하 2층,2
01,수도권,S1,3,3호선,0116,녹번,2,지하,1,지하 1층,1
01,수도권,S1,3,3호선,0116,녹번,2,지하,2,지하 2층,2
01,수도권,S1,3,3호선,0597,홍제,2,지하,1,지하 1층,1
01,수도권,S1,3,3호선,0597,홍제,2,지하,2,지하 2층,2
01,수도권,S1,3,3호선,0597,홍제,2,지하,3,지하 3층,3
01,수도권,S1,3,3호선,0205,무악재,2,지하,1,지하 1층,1
01,수도권,S1,3,3호선,0205,무악재,2,지하,2,지하 2층,2
01,수도권,S1,3,3호선,0205,무악재,2,지하,3,지하 3층,3
01,수도권,S1,3,3호선,0150,독립문,2,지하,2,지하 2층,1
01,수도권,S1,3,3호선,0150,독립문,2,지하,3,지하 3층,2
01,수도권,S1,3,3호선,0040,경복궁,2,지하,1,지하 1층,1
01,수도권,S1,3,3호선,0040,경복궁,2,지하,2,지하 2층,2
01,수도권,S1,3,3호선,0040,경복궁,2,지하,3,지하 3층,3
01,수도권,S1,3,3호선,0387,안국,2,지하,1,지하 1층,1
01,수도권,S1,3,3호선,0387,안국,2,지하,2,지하 2층,2
01,수도권,S1,3,3호선,0387,안국,2,지하,3,지하 3층,3
01,수도권,S1,3,3호선,0515,종로3가,2,지하,1,지하 1층,1
01,수도권,S1,3,3호선,0515,종로3가,2,지하,2,지하 2층,2
01,수도권,S1,3,3호선,0515,종로3가,2,지하,3,지하 3층,3
01,수도권,S1,3,3호선,0515,종로3가,2,지하,4,지하 4층,4
01,수도권,S1,3,3호선,0464,을지로3가,2,지하,1,지하 1층,1
01,수도권,S1,3,3호선,0464,을지로3가,2,지하,2,지하 2층,2
