are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,facility_cd,facility_nm,grnd_dv_cd,grnd_dv_nm,stin_flor,floor_label,detail_location,trfc_weak_dv_cd,trfc_weak_dv_nm,ml_fml_dv_cd,ml_fml_dv_nm
01,수도권,KR,1,1호선,0159,동두천중앙,ELEC,전동휠체어충전설비,1,지상,1,지상 1층,(1F) 3번 출입구 앞,,,,
01,수도권,KR,1,1호선,0159,동두천중앙,ELEC,전동휠체어충전설비,1,지상,1,지상 1층,(1F) 3번 출입구 앞,,,,
01,수도권,KR,1,1호선,0538,지행,EV,일반승강기,1,지상,2,지상 2층,[1호기]4번출구옆,,,,
01,수도권,KR,1,1호선,0538,지행,EV,일반승강기,1,지상,2,지상 2층,[2호기]1번출구옆,,,,
01,수도권,KR,1,1호선,0538,지행,EV,일반승강기,1,지상,1,지상 1층,[1호기]4번출구옆,,,,
01,수도권,KR,1,1호선,0538,지행,EV,일반승강기,1,지상,1,지상 1층,[2호기]1번출구옆,,,,
01,수도권,KR,1,1호선,0538,지행,ELEC,전동휠체어충전설비,1,지상,1,지상 1층,(1F) 남부역 1번 출입구 출입문 외부 우측,,,,
01,수도권,KR,1,1호선,0538,지행,TOLT,일반화장실(남),1,지상,1,지상 1층,(1F) 남부역 맞이방 내 4번 출입구 방향,1,일반,1,남
01,수도권,KR,1,1호선,0538,지행,TOLT,일반화장실(남),1,지상,1,지상 1층,(1F) 북부역 맞이방 내  3번 출입구 방향,1,일반,1,남
01,수도권,KR,1,1호선,0538,지행,TOLT,일반화장실(여),1,지상,1,지상 1층,(1F) 북부역 맞이방 내  3번 출입구 방향,1,일반,2,여
01,수도권,KR,1,1호선,0538,지행,TOLT,일반화장실(여),1,지상,1,지상 1층,(1F) 남부역 맞이방 내 4번 출입구 방향,1,일반,2,여
01,수도권,KR,1,1호선,0538,지행,TOLT,장애인화장실(남),1,지상,1,지상 1층,(1F) 남부역 맞이방 내 4번 출입구 방향,2,장애인,1,남
01,수도권,KR,1,1호선,0538,지행,TOLT,장애인화장실(여),1,지상,1,지상 1층,(1F) 남부역 맞이방 내 4번 출입구 방향,2,장애인,2,여
01,수도권,KR,1,1호선,0538,지행,INFO,고객센터,1,지상,1,지상 1층,(1F) 북부 맞이방 내,,,,
01,수도권,KR,1,1호선,0538,지행,INFO,고객센터,1,지상,1,지상 1층,(1F) 남부 맞이방 내,,,,
01,수도권,KR,1,1호선,0538,지행,LARM,수유실,1,지상,1,지상 1층,(1F) 남부역 맞이방 화장실 내 > 4번 출입구 방향,,,,
01,수도권,KR,1,1호선,0141,덕정,EV,일반승강기,1,지상,2,지상 2층,[2호기]1F(1번출입구방향)2F(지행역방향승강장5-3출입문앞),,,,
