are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,plf_no,plf_tp_nm,run_dir_tmn_stin_nm,next_stin_nm,screen_door,safety_footboard,platform_crossable,braille_block,braille_sign
01,수도권,KR,1,1호선,0319,세마,2,섬식,,오산대,×,●,●,×,×
01,수도권,KR,1,1호선,0432,오산대,1,상대식,,세마,×,●,●,×,×
01,수도권,KR,1,1호선,0432,오산대,2,상대식,,오산,×,●,●,×,×
01,수도권,KR,1,1호선,0431,오산,1,섬식,,오산대,×,●,●,×,×
01,수도권,KR,1,1호선,0431,오산,2,섬식,,진위,×,●,●,×,×
01,수도권,KR,1,1호선,0540,진위,1,상대식,,오산,×,●,●,×,×
01,수도권,KR,1,1호선,0540,진위,2,상대식,,송탄,×,●,●,×,×
01,수도권,KR,1,1호선,0331,송탄,1,섬식,,진위,×,●,●,×,×
01,수도권,KR,1,1호선,0331,송탄,2,섬식,,서정리,×,●,●,×,×
01,수도권,KR,1,1호선,0297,서정리,1,섬식,,송탄,×,●,●,×,×
01,수도권,KR,1,1호선,0297,서정리,2,섬식,,평택지제,×,●,●,×,×
01,수도권,KR,1,1호선,0535,평택지제,1,상대식,,서정리,×,●,●,×,×
01,수도권,KR,1,1호선,0535,평택지제,2,상대식,,평택,×,●,●,×,×
01,수도권,KR,1,1호선,0579,평택,1,섬식,,평택지제,●,●,×,×,×
01,수도권,KR,1,1호선,0579,평택,2,섬식,,성환,●,●,×,×,×
01,수도권,KR,1,1호선,0317,성환,1,섬식,,평택,×,●,●,×,×
01,수도권,KR,1,1호선,0317,성환,2,섬식,,직산,×,●,●,×,×
01,수도권,KR,1,1호선,0539,직산,1,상대식,,성환,×,●,●,×,×
01,수도권,KR,1,1호선,0539,직산,2,상대식,,두정,×,●,●,×,×
01,수도권,KR,1,1호선,0170,두정,1,상대식,,직산,×,●,●,×,×
01,수도권,KR,1,1호선,0170,두정,2,상대식,,천안,×,●,●,×,×
01,수도권,KR,1,1호선,0544,천안,1,상대식,,두정,×,●,●,×,×
01,수도권,KR,1,1호선,0544,천안,2,상대식,,봉명,×,●,●,×,×
01,수도권,KR,1,1호선,0240,봉명,1,상대식,,천안,×,●,●,×,×
01,수도권,KR,1,1호선,0240,봉명,2,상대식,,쌍용,×,●,●,×,×
01,수도권,KR,1,1호선,0381,쌍용,1,상대식,,봉명,×,×,●,×,×
01,수도권,KR,1,1호선,0381,쌍용,2,상대식,,아산,×,×,●,×,×
01,수도권,KR,1,1호선,0382,아산,1,상대식,,쌍용,×,×,●,×,×
01,수도권,KR,1,1호선,0382,아산,2,상대식,,탕정,×,×,●,×,×
01,수도권,KR,1,1호선,0222,배방,1,상대식,,탕정,×,●,●,×,×
01,수도권,KR,1,1호선,0222,배방,2,상대식,,온양온천,×,●,●,×,×
01,수도권,KR,1,1호선,0437,온양온천,1,상대식,,배방,×,●,●,×,×
01,수도권,KR,1,1호선,0437,온양온천,2,상대식,,신창,×,●,●,×,×
01,수도권,KR,1,1호선,0375,신창,1,상대식,,온양온천,×,●,●,×,×
01,수도권,KR,1,1호선,0375,신창,2,상대식,,신창,×,●,●,×,×
01,수도권,S1,2,2호선,0347,시청,1,섬식,,시청,●,●,●,×,×
01,수도권,S1,2,2호선,0347,시청,2,섬식,,충정로,●,●,●,×,×
01,수도권,S1,2,2호선,0564,충정로,1,섬식,,시청,●,●,●,×,×
01,수도권,S1,2,2호선,0564,충정로,2,섬식,,아현,●,●,●,×,×
