are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,mv_path_dv_cd,mv_path_dv_nm,mg_no,step_no,step_text
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,1,5,5) (1F) 소요산 방면 승강장으로 이동
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,1,6,6) 승차 (휠체어칸)
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,2,1,1) (1F) 1번 출입구 옆 엘리베이터 탑승
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,2,2,2) (3F) 대합실로 이동
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,2,3,3) 표 내는 곳 통과
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,2,4,4) 보산 방면 엘리베이터 탑승
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,2,5,5) (1F) 보산 방면 승강장으로 이동
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,2,6,6) 승차 (휠체어칸)
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,3,1,1) (1F) 2번 출입구 옆 엘리베이터 탑승
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,3,2,2) (3F) 대합실로 이동
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,3,3,3) 표 내는 곳 통과
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,3,4,4) 소요산 방면 엘리베이터 탑승
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,3,5,5) (1F) 소요산 방면 승강장으로 이동
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,3,6,6) 승차 (휠체어칸)
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,4,1,1) (1F) 2번 출입구 옆 엘리베이터 탑승
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,4,2,2) (3F) 대합실로 이동
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,4,3,3) 표 내는 곳 통과
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,4,4,4) 보산 방면 엘리베이터 탑승
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,4,5,5) (1F) 보산 방면 승강장으로 이동
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,4,6,6) 승차 (휠체어칸)
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,1,1,1) (1F) 1번 출입구 대합실로 이동
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,1,2,2) 동두천 방면 엘리베이터 탑승
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,1,3,3) (3F) 동두천 방면 승강장으로 이동
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,1,4,4) 표 내는 곳 통과
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,1,5,5) 승차 (휠체어칸)
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,2,1,1) (1F) 1번 출입구 대합실로 이동
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,2,2,2) 동두천중앙 방면 엘리베이터 탑승
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,2,3,3) (3F) 동두천중앙 방면 승강장으로 이동
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,2,4,4) 표 내는 곳 통과
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,2,5,5) 승차 (휠체어칸)
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,3,1,1) (1F) 2번 출입구 대합실로 이동
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,3,2,2) 동두천 방면 엘리베이터 탑승
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,3,3,3) (3F) 동두천 방면 승강장으로 이동
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,3,4,4) 표 내는 곳 통과
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,3,5,5) 승차 (휠체어칸)
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,4,1,1) (1F) 2번 출입구 대합실로 이동
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,4,2,2) 동두천중앙 방면 엘리베이터 탑승
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,4,3,3) (3F) 동두천중앙 방면 승강장으로 이동
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,4,4,4) 표 내는 곳 통과
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,4,5,5) 승차 (휠체어칸)
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,1,1,1) 1번 출입구
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,1,2,2) 보산방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,1,3,3) 보산방면 지상3층 승강장 엘리베이터
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,1,4,4) 보산방면 승강장
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,2,1,1) 2번 출입구
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,2,2,2) 보산방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,2,3,3) 보산방면 지상3층 승강장 엘리베이터
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,2,4,4) 보산방면 승강장
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,3,1,1) 3번 출입구
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,3,2,2) 보산방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,3,3,3) 보산방면 지상3층 승강장 엘리베이터
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,3,4,4) 보산방면 승강장
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,4,1,1) 4번 출입구
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,4,2,2) 보산방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,4,3,3) 보산방면 지상3층 승강장 엘리베이터
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,4,4,4) 보산방면 승강장
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,5,1,1) 1번 출입구
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,5,2,2) 지행방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,5,3,3) 지행방면 지상3층 승강장 엘리베이터
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,5,4,4) 지행방면 승강장
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,6,1,1) 2번 출입구
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,6,2,2) 지행방면 지상1층 엘리베이터
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,6,3,3) 지행방면 지상3층 승강장 엘리베이터
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,6,4,4) 지행방면 승강장
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,7,1,1) 3번 출입구
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,7,2,2) 지행방면 지상1층 엘리베이터
