month,hour,factor
5,21,1.0367956145363761
5,22,1.0440162360856202
5,23,1.0621783386760937
5,24,1.0668493731131607
6,5,1.067805767592208
6,6,1.0602401944195137
6,7,1.043722032062273
6,8,1.0181049050146664
6,9,1.0125236653003973
6,10,1.0132993598272448
6,11,1.0114227386782089
6,12,1.0026952493177985
6,13,0.9982475501408615
6,14,0.9944067925808209
6,15,0.9980425812903706
6,16,1.0019948034070887
6,17,0.9973552839345213
6,18,1.0036244736516065
6,19,0.9956184974946907
6,20,1.010855696139302
6,21,1.0279031038346245
6,22,1.0367614378844416
6,23,1.0412774450212783
6,24,1.0325406833972846
7,5,1.0272990589941495
7,6,1.0370708310342374
7,7,1.0458703924427226
7,8,1.0316840870037793
7,9,1.00209633513294
7,10,0.9644042620441294
7,11,0.9615616441445441
7,12,0.9671533168185874
7,13,0.9596536326930724
7,14,0.948428134367562
7,15,0.9472021232351014
7,16,0.9532565932838711
7,17,0.9880913711173809
7,18,1.019426369287297
7,19,0.9970273849875485
7,20,0.9864736674922814
7,21,0.9887844049176636
7,22,0.9978868434662195
7,23,0.9829673858691071
7,24,0.9868052298940899
8,5,0.9878402552203012
8,6,0.9896137161403571
8,7,0.9678022431854129
8,8,0.9495464050916027
8,9,0.9346627846880082
8,10,0.9263529025629403
8,11,0.9253118737012517
8,12,0.9258384708695032
8,13,0.9140557770203582
8,14,0.9050237612181136
8,15,0.9080287118647803
8,16,0.9203488215879908
8,17,0.945036158413392
8,18,0.9609973378434373
8,19,0.9464629646113041
8,20,0.9447242245724538
8,21,0.9378185159715734
8,22,0.9399815673012456
8,23,0.9131098178615983
8,24,0.8894615944136491
9,5,0.9789803501107679
9,6,0.9798636627306146
9,7,0.9838287810332004
9,8,0.9678984660056159
9,9,0.9669790959247466
9,10,0.9804197414140899
9,11,0.9700387064772392
9,12,0.969815414151046
9,13,0.9686624142049226
9,14,0.968893573520939
9,15,0.974736525345397
9,16,0.9829402121552037
9,17,0.976151898085071
9,18,0.9552415497374411
9,19,0.965850825317272
9,20,0.9716157310939282
9,21,0.9638076855108181
9,22,0.9621244451399076
9,23,0.9583498542033407
9,24,0.951625153262345
10,5,1.02579913677754
10,6,1.012165916391008
10,7,0.9826754075038933
10,8,0.973758257742464
10,9,1.0028397978448236
10,10,1.0429920496658651
10,11,1.0484451238935748
10,12,1.0434052011015633
10,13,1.0456024104918478
10,14,1.046927820101493
10,15,1.0442946925151715
10,16,1.0445583145912039
10,17,1.0193196581326345
10,18,0.9862809695976988
10,19,0.9944813703520453
10,20,1.0129687249579586
10,21,1.0020176132656773
10,22,0.9807992895550387
10,23,0.9827213736543606
10,24,0.9246785327466015
11,5,1.0442846137721977
11,6,1.0498770609885713
11,7,1.054291622427633
11,8,1.0662488748923014
11,9,1.0822165761990445
11,10,1.0655966187747243
11,11,1.0433326517660746
11,12,1.0399000090459913
11,13,1.0435622836065097
11,14,1.046359404094583
11,15,1.0545777679873298
11,16,1.0646417645468687
11,17,1.0759163144553165
11,18,1.058204952295102
11,19,1.0448098374994736
11,20,1.0330683281014619
11,21,1.0247235993049275
11,22,1.0100589210777648
11,23,1.0032704507599737
11,24,1.018421462568298
12,5,0.9706413747057226
12,6,0.9626313338029256
12,7,0.9543429251914395
12,8,0.9741344158048033
12,9,0.9897333605119816
12,10,1.0215659104387576
12,11,1.0591344764233657
12,12,1.0600187653671174
12,13,1.0615551413670887
12,14,1.086090026617055
12,15,1.0932473911657064
12,16,1.0910690047658158
12,17,1.0655582782409034
12,18,1.007671867985183
12,19,1.0020719966404434
12,20,1.0371992387994846
12,21,1.0586908834724786
12,22,1.0636961982598527
12,23,1.0869879886873421
12,24,1.17446792165486
